qPCR_plate,Well_Position,extraction_ID
20240213_1,A1,e02112
20240213_1,B1,e02114
20240213_1,C1,e02116
20240213_1,D1,e02118
20240213_1,E1,e02120
20240213_1,F1,e02122
20240213_1,G1,e02124
20240213_1,H1,e02126
20240213_1,A2,e02112
20240213_1,B2,e02114
20240213_1,C2,e02116
20240213_1,D2,e02118
20240213_1,E2,e02120
20240213_1,F2,e02122
20240213_1,G2,e02124
20240213_1,H2,e02126
20240213_1,A3,e02112
20240213_1,B3,e02114
20240213_1,C3,e02116
20240213_1,D3,e02118
20240213_1,E3,e02120
20240213_1,F3,e02122
20240213_1,G3,e02124
20240213_1,H3,e02126
20240213_1,A4,e02129
20240213_1,B4,e02131
20240213_1,C4,e02139
20240213_1,D4,e02141
20240213_1,E4,e02150
20240213_1,F4,e02152
20240213_1,G4,e02158
20240213_1,H4,e02160
20240213_1,A5,e02129
20240213_1,B5,e02131
20240213_1,C5,e02139
20240213_1,D5,e02141
20240213_1,E5,e02150
20240213_1,F5,e02152
20240213_1,G5,e02158
20240213_1,H5,e02160
20240213_1,A6,e02129
20240213_1,B6,e02131
20240213_1,C6,e02139
20240213_1,D6,e02141
20240213_1,E6,e02150
20240213_1,F6,e02152
20240213_1,G6,e02158
20240213_1,H6,e02160
20240213_1,A7,e02163
20240213_1,B7,e02192
20240213_1,C7,e02173
20240213_1,D7,e02194
20240213_1,E7,e02197
20240213_1,F7,e02190
20240213_1,G7,e02188
20240213_1,H7,e02182
20240213_1,A8,e02163
20240213_1,B8,e02192
20240213_1,C8,e02173
20240213_1,D8,e02194
20240213_1,E8,e02197
20240213_1,F8,e02190
20240213_1,G8,e02188
20240213_1,H8,e02182
20240213_1,A9,e02163
20240213_1,B9,e02192
20240213_1,C9,e02173
20240213_1,D9,e02194
20240213_1,E9,e02197
20240213_1,F9,e02190
20240213_1,G9,e02188
20240213_1,H9,e02182
20240213_1,A10,2000000c
20240213_1,B10,200000c
20240213_1,C10,20000c
20240213_1,D10,2000c
20240213_1,E10,200c
20240213_1,F10,20c
20240213_1,G10,2c
20240213_1,H10,NTC
20240213_1,A11,2000000c
20240213_1,B11,200000c
20240213_1,C11,20000c
20240213_1,D11,2000c
20240213_1,E11,200c
20240213_1,F11,20c
20240213_1,G11,2c
20240213_1,H11,NTC
20240213_1,A12,2000000c
20240213_1,B12,200000c
20240213_1,C12,20000c
20240213_1,D12,2000c
20240213_1,E12,200c
20240213_1,F12,20c
20240213_1,G12,2c
20240213_1,H12,NTC
20240213_2,A1,e02186
20240213_2,B1,e02184
20240213_2,C1,e02357
20240213_2,D1,e02358
20240213_2,E1,e02361
20240213_2,F1,e02362
20240213_2,G1,e02363
20240213_2,H1,e02364
20240213_2,A2,e02186
20240213_2,B2,e02184
20240213_2,C2,e02357
20240213_2,D2,e02358
20240213_2,E2,e02361
20240213_2,F2,e02362
20240213_2,G2,e02363
20240213_2,H2,e02364
20240213_2,A3,e02186
20240213_2,B3,e02184
20240213_2,C3,e02357
20240213_2,D3,e02358
20240213_2,E3,e02361
20240213_2,F3,e02362
20240213_2,G3,e02363
20240213_2,H3,e02364
20240213_2,A4,e02365
20240213_2,B4,e02366
20240213_2,C4,e02368
20240213_2,D4,e02370
20240213_2,E4,e02372
20240213_2,F4,e02373
20240213_2,G4,e02374
20240213_2,H4,e02375
20240213_2,A5,e02365
20240213_2,B5,e02366
20240213_2,C5,e02368
20240213_2,D5,e02370
20240213_2,E5,e02372
20240213_2,F5,e02373
20240213_2,G5,e02374
20240213_2,H5,e02375
20240213_2,A6,e02365
20240213_2,B6,e02366
20240213_2,C6,e02368
20240213_2,D6,e02370
20240213_2,E6,e02372
20240213_2,F6,e02373
20240213_2,G6,e02374
20240213_2,H6,e02375
20240213_2,A7,e02376
20240213_2,B7,e02377
20240213_2,C7,e02378
20240213_2,D7,e02379
20240213_2,E7,e02380
20240213_2,F7,e02384
20240213_2,G7,e02385
20240213_2,H7,e02391
20240213_2,A8,e02376
20240213_2,B8,e02377
20240213_2,C8,e02378
20240213_2,D8,e02379
20240213_2,E8,e02380
20240213_2,F8,e02384
20240213_2,G8,e02385
20240213_2,H8,e02391
20240213_2,A9,e02376
20240213_2,B9,e02377
20240213_2,C9,e02378
20240213_2,D9,e02379
20240213_2,E9,e02380
20240213_2,F9,e02384
20240213_2,G9,e02385
20240213_2,H9,e02391
20240213_2,A10,2000000c
20240213_2,B10,200000c
20240213_2,C10,20000c
20240213_2,D10,2000c
20240213_2,E10,200c
20240213_2,F10,20c
20240213_2,G10,2c
20240213_2,H10,NTC
20240213_2,A11,2000000c
20240213_2,B11,200000c
20240213_2,C11,20000c
20240213_2,D11,2000c
20240213_2,E11,200c
20240213_2,F11,20c
20240213_2,G11,2c
20240213_2,H11,NTC
20240213_2,A12,2000000c
20240213_2,B12,200000c
20240213_2,C12,20000c
20240213_2,D12,2000c
20240213_2,E12,200c
20240213_2,F12,20c
20240213_2,G12,2c
20240213_2,H12,NTC
20240213_3,A1,e02394
20240213_3,B1,e02433
20240213_3,C1,e02434
20240213_3,D1,e02436
20240213_3,E1,e02437
20240213_3,F1,e02438
20240213_3,G1,e02439
20240213_3,H1,e02440
20240213_3,A2,e02394
20240213_3,B2,e02433
20240213_3,C2,e02434
20240213_3,D2,e02436
20240213_3,E2,e02437
20240213_3,F2,e02438
20240213_3,G2,e02439
20240213_3,H2,e02440
20240213_3,A3,e02394
20240213_3,B3,e02433
20240213_3,C3,e02434
20240213_3,D3,e02436
20240213_3,E3,e02437
20240213_3,F3,e02438
20240213_3,G3,e02439
20240213_3,H3,e02440
20240213_3,A4,e02441
20240213_3,B4,e02443
20240213_3,C4,e02444
20240213_3,D4,e02445
20240213_3,E4,e02446
20240213_3,F4,e02447
20240213_3,G4,e02448
20240213_3,H4,e02450
20240213_3,A5,e02441
20240213_3,B5,e02443
20240213_3,C5,e02444
20240213_3,D5,e02445
20240213_3,E5,e02446
20240213_3,F5,e02447
20240213_3,G5,e02448
20240213_3,H5,e02450
20240213_3,A6,e02441
20240213_3,B6,e02443
20240213_3,C6,e02444
20240213_3,D6,e02445
20240213_3,E6,e02446
20240213_3,F6,e02447
20240213_3,G6,e02448
20240213_3,H6,e02450
20240213_3,A7,e02452
20240213_3,B7,e02453
20240213_3,C7,e02454
20240213_3,D7,e02455
20240213_3,E7,e02456
20240213_3,F7,e02459
20240213_3,G7,e02460
20240213_3,H7,e02461
20240213_3,A8,e02452
20240213_3,B8,e02453
20240213_3,C8,e02454
20240213_3,D8,e02455
20240213_3,E8,e02456
20240213_3,F8,e02459
20240213_3,G8,e02460
20240213_3,H8,e02461
20240213_3,A9,e02452
20240213_3,B9,e02453
20240213_3,C9,e02454
20240213_3,D9,e02455
20240213_3,E9,e02456
20240213_3,F9,e02459
20240213_3,G9,e02460
20240213_3,H9,e02461
20240213_3,A10,2000000c
20240213_3,B10,200000c
20240213_3,C10,20000c
20240213_3,D10,2000c
20240213_3,E10,200c
20240213_3,F10,20c
20240213_3,G10,e02182
20240213_3,H10,NTC
20240213_3,A11,2000000c
20240213_3,B11,200000c
20240213_3,C11,20000c
20240213_3,D11,2000c
20240213_3,E11,200c
20240213_3,F11,20c
20240213_3,G11,e02182
20240213_3,H11,NTC
20240213_3,A12,2000000c
20240213_3,B12,200000c
20240213_3,C12,20000c
20240213_3,D12,2000c
20240213_3,E12,200c
20240213_3,F12,20c
20240213_3,G12,e02182
20240213_3,H12,NTC
