extraction_ID,alt_ID,tank_ID,station_ID,sample_type,extraction_plate,extraction_well,DNA_conc,collection_year,collection_month,collection_day
e02112,59,40,NA,sample,18_2023,A1,5.155,2023,3,24
e02205,384,87,NA,sample,19_2023,A1,2.504,2023,2,1
e02114,423,47,NA,sample,18_2023,C1,2.241,2023,3,31
e02207,429,98,NA,sample,19_2023,C1,4.283,2023,1,23
e02116,299,55,NA,sample,18_2023,E1,2.473,2023,3,31
e02209,332,98,NA,sample,19_2023,E1,2.621,2023,1,23
e02118,224,55,NA,sample,18_2023,G1,2.393,2023,3,31
e02211,300,87,NA,sample,19_2023,G1,3.158,2023,2,1
e02120,413,11,NA,sample,18_2023,A2,2.327,2023,3,27
e02213,NA,NA,NA,extraction_blank,19_2023,A2,0.28,NA,NA,NA
e02122,213,40,NA,sample,18_2023,C2,5.449,2023,3,24
e02214,241,T,NA,sample,19_2023,B2,0.51,2023,2,1
e02124,220,40,NA,sample,18_2023,E2,4.737,2023,3,24
e02216,133,87,NA,sample,19_2023,D2,1.946,2023,2,1
e02126,273,47,NA,sample,18_2023,G2,1.982,2023,3,31
e02218,314,98,NA,sample,19_2023,F2,5.769,2023,1,23
e02128,NA,NA,NA,extraction_blank,18_2023,A3,0.218,NA,NA,NA
e02129,275,47,NA,sample,18_2023,B3,2.249,2023,3,31
e02220,79,72,NA,sample,19_2023,H2,12.923,2023,1,23
e02131,495,11,NA,sample,18_2023,D3,3.517,2023,3,27
e02222,94,72,NA,sample,19_2023,B3,11.216,2023,1,23
e02133,141,86,NA,sample,18_2023,F3,3.295,2023,3,17
e02224,10,72,NA,sample,19_2023,D3,12.142,2023,1,23
e02135,194,T,NA,sample,18_2023,H3,0.68,2023,3,24
e02226,340,32,NA,sample,19_2023,F3,31.5,2023,1,23
e02137,118,T,NA,sample,18_2023,B4,0.477,2023,3,27
e02228,124,24,NA,sample,19_2023,H3,2.532,2023,1,23
e02139,377,11,NA,sample,18_2023,D4,3.169,2023,3,27
e02230,NA,NA,NA,extraction_blank,19_2023,B4,0.251,NA,NA,NA
e02141,491,17,NA,sample,18_2023,F4,2.525,2023,3,20
e02231,379,24,NA,sample,19_2023,C4,3.014,2023,1,23
e02143,62,3,NA,sample,18_2023,H4,1.928,2023,3,8
e02233,106,24,NA,sample,19_2023,E4,3.254,2023,1,23
e02145,NA,NA,NA,extraction_blank,18_2023,B5,0.226,NA,NA,NA
e02146,462,86,NA,sample,18_2023,C5,2.332,2023,3,17
e02235,351,32,NA,sample,19_2023,G4,29.854,2023,1,23
e02148,229,T,NA,sample,18_2023,E5,0.534,2023,3,20
e02237,313,32,NA,sample,19_2023,A5,31.5,2023,1,23
e02150,481,17,NA,sample,18_2023,G5,2.369,2023,3,20
e02239,395,T,NA,sample,19_2023,C5,0.769,2023,1,23
e02152,408,17,NA,sample,18_2023,A6,3.061,2023,3,20
e02241,212,43,NA,sample,19_2023,E5,7.709,2022,12,6
e02154,226,3,NA,sample,18_2023,C6,1.949,2023,3,8
e02243,301,43,NA,sample,19_2023,G5,6.708,2022,12,6
e02156,370,86,NA,sample,18_2023,E6,2.33,2023,3,17
e02245,72,43,NA,sample,19_2023,A6,5.117,2022,12,6
e02158,391,41,NA,sample,18_2023,G6,4.61,2023,3,17
e02247,NA,NA,NA,extraction_blank,19_2023,C6,0.235,NA,NA,NA
e02160,417,41,NA,sample,18_2023,B7,5.474,2023,3,17
e02248,107,T,NA,sample,19_2023,D6,0.673,2022,12,6
e02162,NA,NA,NA,extraction_blank,18_2023,D7,0.212,NA,NA,NA
e02163,358,41,NA,sample,18_2023,E7,5.78,2023,3,17
e02199,89,67,NA,sample,18_2023,A12,10.594,2023,2,1
e02165,385,59,NA,sample,18_2023,G7,1.297,2023,3,8
e02201,388,67,NA,sample,18_2023,C12,16.945,2023,2,1
e02167,404,3,NA,sample,18_2023,A8,1.878,2023,3,8
e02203,368,67,NA,sample,18_2023,E12,20.698,2023,2,1
e02169,52,T,NA,sample,18_2023,C8,0.506,2023,3,17
e02192,420,34,NA,sample,18_2023,B11,2.311,2023,2,1
e02171,452,T,NA,sample,18_2023,E8,0.754,2023,3,14
e02173,500,76,NA,sample,18_2023,F8,31.5,2023,3,14
e02194,181,34,NA,sample,18_2023,D11,3.761,2023,2,1
e02175,430,T,NA,sample,18_2023,H8,0.582,2023,3,8
e02196,NA,NA,NA,extraction_blank,18_2023,F11,0.212,NA,NA,NA
e02177,284,59,NA,sample,18_2023,B9,1.307,2023,3,8
e02197,366,7,NA,sample,18_2023,G11,13.484,2023,2,1
e02190,35,34,NA,sample,18_2023,H10,2.571,2023,2,1
e02179,NA,NA,NA,extraction_blank,18_2023,E9,0.215,NA,NA,NA
e02180,178,59,NA,sample,18_2023,F9,1.305,2023,3,8
e02188,443,7,NA,sample,18_2023,F10,9.239,2023,2,1
e02182,406,76,NA,sample,18_2023,H9,31.5,2023,3,14
e02186,199,7,NA,sample,18_2023,D10,7.481,2023,2,1
e02184,154,76,NA,sample,18_2023,B10,31.5,2023,3,14
e02356,294,T,NA,sample,24_2023,A1,0.402,2023,3,31
e02357,70,65,NA,sample,24_2023,B1,4.165,2023,4,3
e02358,269,65,NA,sample,24_2023,C1,6.064,2023,4,3
e02359,244,T,NA,sample,24_2023,D1,0.371,2023,4,3
e02360,328,T,NA,sample,24_2023,E1,0.314,2023,4,7
e02361,214,65,NA,sample,24_2023,F1,6.167,2023,4,3
e02362,435,2,NA,sample,24_2023,G1,4.751,2023,4,7
e02363,393,2,NA,sample,24_2023,H1,4.324,2023,4,7
e02364,34,45,NA,sample,24_2023,A2,3.823,2023,4,10
e02365,350,45,NA,sample,24_2023,B2,3.224,2023,4,10
e02366,446,2,NA,sample,24_2023,C2,3.572,2023,4,7
e02367,457,T,NA,sample,24_2023,D2,0.385,2023,4,10
e02368,189,45,NA,sample,24_2023,E2,3.076,2023,4,10
e02369,15,T,NA,sample,24_2023,F2,0.311,2023,4,14
e02370,81,39,NA,sample,24_2023,G2,3.833,2023,4,14
e02371,NA,NA,NA,extraction_blank,24_2023,H2,0.148,NA,NA,NA
e02372,398,89,NA,sample,24_2023,A3,7.181,2023,4,14
e02373,312,89,NA,sample,24_2023,B3,6.506,2023,4,14
e02374,360,39,NA,sample,24_2023,C3,4.898,2023,4,14
e02375,8,39,NA,sample,24_2023,D3,4.626,2023,4,14
e02376,437,30,NA,sample,24_2023,E3,4.352,2023,4,17
e02377,485,58,NA,sample,24_2023,F3,2.772,2023,4,17
e02378,151,58,NA,sample,24_2023,G3,3.992,2023,4,17
e02379,86,58,NA,sample,24_2023,H3,3.235,2023,4,17
e02380,492,89,NA,sample,24_2023,A4,6.861,2023,4,14
e02381,466,60,NA,sample,24_2023,B4,4.124,2023,4,17
e02382,489,60,NA,sample,24_2023,C4,4.072,2023,4,17
e02383,219,60,NA,sample,24_2023,D4,3.319,2023,4,17
e02384,411,30,NA,sample,24_2023,E4,5.693,2023,4,17
e02385,270,30,NA,sample,24_2023,F4,0.175,2023,4,17
e02386,42,78,NA,sample,24_2023,G4,41.8,2023,7,25
e02387,NA,NA,NA,extraction_blank,24_2023,H4,0.144,NA,NA,NA
e02388,127,73,NA,sample,24_2023,A5,2.697,2023,4,21
e02389,490,73,NA,sample,24_2023,B5,3.116,2023,4,21
e02390,77,73,NA,sample,24_2023,C5,1.665,2023,4,21
e02391,131,92,NA,sample,24_2023,D5,2.486,2023,4,21
e02392,172,T,NA,sample,24_2023,E5,0.518,2023,7,25
e02393,456,T,NA,sample,24_2023,F5,0.317,2023,4,17
e02394,375,55,NA,sample,24_2023,G5,3.823,2023,3,31
e02395,55,T,NA,sample,24_2023,H5,0.251,2023,5,5
e02396,202,79,NA,sample,24_2023,A6,2.002,2023,5,8
e02397,281,79,NA,sample,24_2023,B6,2.833,2023,5,8
e02398,166,18,NA,sample,24_2023,C6,2.336,2023,5,8
e02399,69,T,NA,sample,24_2023,D6,0.234,2023,5,8
e02400,82,91,NA,sample,24_2023,E6,3.347,2023,5,12
e02401,16,91,NA,sample,24_2023,F6,2.781,2023,5,12
e02402,216,79,NA,sample,24_2023,G6,2.569,2023,5,8
NC3,NA,NA,NA,PCR_blank,NA,NA,NA,NA,NA,NA
e02403,NA,NA,NA,extraction_blank,24_2023,A7,0.15,NA,NA,NA
e02404,378,18,NA,sample,24_2023,B7,2.827,2023,5,8
e02405,336,18,NA,sample,24_2023,C7,2.6,2023,5,8
e02406,317,91,NA,sample,24_2023,D7,2.814,2023,5,12
e02407,376,71,NA,sample,24_2023,E7,3.226,2023,5,12
e02408,128,71,NA,sample,24_2023,F7,2.549,2023,5,12
e02409,282,71,NA,sample,24_2023,G7,2.704,2023,5,12
e02410,291,T,NA,sample,24_2023,H7,0.256,2023,5,12
e02411,84,42,NA,sample,24_2023,A8,3.162,2023,5,15
e02412,47,42,NA,sample,24_2023,B8,2.978,2023,5,15
e02413,31,42,NA,sample,24_2023,C8,3.832,2023,5,15
e02414,320,9,NA,sample,24_2023,D8,2.19,2023,5,15
e02415,280,9,NA,sample,24_2023,E8,3.836,2023,5,15
e02416,95,50,NA,sample,24_2023,F8,2.524,2023,5,17
e02417,17,50,NA,sample,24_2023,G8,2.454,2023,5,17
e02418,369,50,NA,sample,24_2023,H8,2.833,2023,5,17
e02419,NA,NA,NA,extraction_blank,24_2023,A9,0.144,NA,NA,NA
e02420,177,9,NA,sample,24_2023,B9,3.523,2023,5,15
e02421,188,T,NA,sample,24_2023,C9,0.3,2023,5,15
e02422,285,T,NA,sample,24_2023,D9,0.317,2023,5,17
e02423,61,94,NA,sample,24_2023,E9,3.368,2023,5,18
e02424,2,94,NA,sample,24_2023,F9,3.535,2023,5,18
e02425,168,94,NA,sample,24_2023,G9,3.755,2023,5,18
e02426,245,T,NA,sample,24_2023,H9,0.378,2023,5,18
e02427,153,51,NA,sample,24_2023,A10,3.157,2023,5,19
e02428,57,51,NA,sample,24_2023,B10,3.211,2023,5,19
e02429,25,51,NA,sample,24_2023,C10,2.172,2023,5,19
e02430,247,38,NA,sample,24_2023,D10,3.225,2023,5,19
e02431,240,38,NA,sample,24_2023,E10,3.014,2023,5,19
e02432,175,T,NA,sample,24_2023,F10,0.315,2023,4,21
e02433,405,92,NA,sample,24_2023,G10,2.727,2023,4,21
e02434,105,92,NA,sample,24_2023,H10,3.323,2023,4,21
e02435,NA,NA,NA,extraction_blank,24_2023,A11,0.153,NA,NA,NA
e02436,171,10,NA,sample,24_2023,B11,2.228,2023,4,24
e02437,335,10,NA,sample,24_2023,C11,1.968,2023,4,24
e02438,475,10,NA,sample,24_2023,D11,2.015,2023,4,24
e02439,56,64,NA,sample,24_2023,E11,3.316,2023,4,24
e02440,195,64,NA,sample,24_2023,F11,3.131,2023,4,24
e02441,287,64,NA,sample,24_2023,G11,3.38,2023,4,24
e02442,176,T,NA,sample,24_2023,H11,0.249,2023,4,24
e02443,357,97,NA,sample,24_2023,A12,1.981,2023,4,28
e02444,246,97,NA,sample,24_2023,B12,2.22,2023,4,28
e02445,387,97,NA,sample,24_2023,C12,2.923,2023,4,28
e02446,386,93,NA,sample,24_2023,D12,4.272,2023,4,28
e02447,238,93,NA,sample,24_2023,E12,6.666,2023,4,28
e02448,54,93,NA,sample,24_2023,F12,6.052,2023,4,28
e02362,435,2,NA,sample,24_2023,G1,4.751,2023,4,7
e02366,446,2,NA,sample,24_2023,C2,3.572,2023,4,7
e02370,81,39,NA,sample,24_2023,G2,3.833,2023,4,14
e02372,398,89,NA,sample,24_2023,A3,7.181,2023,4,14
e02373,312,89,NA,sample,24_2023,B3,6.506,2023,4,14
e02374,360,39,NA,sample,24_2023,C3,4.898,2023,4,14
e02375,8,39,NA,sample,24_2023,D3,4.626,2023,4,14
e02380,492,89,NA,sample,24_2023,A4,6.861,2023,4,14
e02449,494,T,NA,sample,25_2023,A1,0.296,2023,4,28
e02450,239,46,NA,sample,25_2023,B1,3.728,2023,5,1
e02451,NA,NA,NA,extraction_blank,25_2023,C1,0.15,NA,NA,NA
e02452,473,46,NA,sample,25_2023,D1,3.746,2023,5,1
e02453,45,46,NA,sample,25_2023,E1,4.111,2023,5,1
e02454,111,96,NA,sample,25_2023,F1,4.968,2023,5,1
e02455,440,96,NA,sample,25_2023,G1,4.966,2023,5,1
e02456,132,96,NA,sample,25_2023,H1,4.801,2023,5,1
e02457,396,T,NA,sample,25_2023,A2,0.212,2023,5,1
e02458,92,56,NA,sample,25_2023,B2,2.74,2023,5,5
e02459,449,49,NA,sample,25_2023,C2,3.303,2023,5,5
e02460,477,49,NA,sample,25_2023,D2,3.624,2023,5,5
e02461,319,49,NA,sample,25_2023,E2,2.803,2023,5,5
e02462,365,56,NA,sample,25_2023,F2,3.223,2023,5,5
e02463,322,56,NA,sample,25_2023,G2,2.102,2023,5,5
e02464,438,33,NA,sample,25_2023,H2,1.393,2023,5,26
e02465,432,T,NA,sample,25_2023,A3,0.27,2023,5,26
e02466,450,54,NA,sample,25_2023,B3,2.326,2023,5,22
e02467,NA,NA,NA,extraction_blank,25_2023,C3,0.148,NA,NA,NA
e02468,236,54,NA,sample,25_2023,D3,2.34,2023,5,22
e02469,274,T,NA,sample,25_2023,E3,0.203,2023,5,19
e02470,93,33,NA,sample,25_2023,F3,1.807,2023,5,26
e02471,183,83,NA,sample,25_2023,G3,1.291,2023,5,26
e02472,235,70,NA,sample,25_2023,H3,2.32,2023,5,22
e02473,427,54,NA,sample,25_2023,A4,3.189,2023,5,22
e02474,304,38,NA,sample,25_2023,B4,3.969,2023,5,19
e02475,415,T,NA,sample,25_2023,C4,0.267,2023,5,30
e02476,468,33,NA,sample,25_2023,D4,1.938,2023,5,26
e02477,389,83,NA,sample,25_2023,E4,1.795,2023,5,26
e02478,293,70,NA,sample,25_2023,F4,2.545,2023,5,22
e02479,400,70,NA,sample,25_2023,G4,2.6,2023,5,22
e02480,99,62,NA,sample,25_2023,H4,1.102,2023,5,30
e02481,76,62,NA,sample,25_2023,A5,1.508,2023,5,30
e02482,428,62,NA,sample,25_2023,B5,1.433,2023,5,30
e02483,NA,NA,NA,extraction_blank,25_2023,C5,0.151,NA,NA,NA
e02484,141,86,NA,sample,25_2023,D5,1.31,2023,3,17
e02485,4,T,NA,sample,25_2023,E5,0.244,2023,5,22
e02486,329,80,NA,sample,25_2023,F5,1.28,2023,6,1
e02487,200,80,NA,sample,25_2023,G5,1.379,2023,6,1
e02488,353,80,NA,sample,25_2023,H5,1.226,2023,6,1
e02489,390,T,NA,sample,25_2023,A6,0.244,2023,6,1
e02490,109,22,NA,sample,25_2023,B6,3.857,2023,7,25
e02491,14,22,NA,sample,25_2023,C6,4.277,2023,7,25
e02492,65,22,NA,sample,25_2023,D6,3.59,2023,7,25
e02493,64,63,NA,sample,25_2023,E6,27.001,2023,7,25
e02494,36,63,NA,sample,25_2023,F6,38.792,2023,7,25
e02495,251,63,NA,sample,25_2023,G6,30.634,2023,7,25
e02496,234,14,NA,sample,25_2023,A7,4.108,2023,7,25
e02497,272,14,NA,sample,25_2023,B7,3.027,2023,7,25
e02498,150,14,NA,sample,25_2023,C7,4.58,2023,7,25
e02499,,NA,NA,extraction_blank,25_2023,D7,0.161,NA,NA,NA
e02500,254,78,NA,sample,25_2023,E7,34.841,2023,7,25
e02501,73,78,NA,sample,25_2023,F7,28.793,2023,7,25
